Food Name,Calories,Carbs,Cholesterol,Fats,Fiber,Protein,Saturated Fat,Sodium,Sugar
Fish sauce,35.0,3.6,0.0,0.01,0.0,5.1,0.0,7.851,3.6
Marinara sauce,51.0,8.1,0.002,1.5,1.8,1.4,0.17,0.03,5.5
Olive,115.0,6.3,0.0,11.0,3.2,0.84,1.4,0.735,0.0
Tomato paste,82.0,19.0,0.0,0.47,4.1,4.3,0.1,0.059,12.0
Ketchup,101.0,27.0,0.0,0.1,0.3,1.0,0.01,0.907,21.0
Wasabi,109.0,24.0,0.0,0.63,7.8,4.8,,0.017,
Miso,198.0,25.0,0.0,6.0,5.4,13.0,1.0,3.728,6.2
Soy milk,54.0,6.3,0.0,1.8,0.6,3.3,0.21,0.051,4.0
Soy sauce,53.0,4.9,0.0,0.57,0.8,8.1,0.07,5.493,0.4
Peanut butter,598.0,22.0,0.0,51.0,5.0,22.0,10.0,0.017,10.0
Sweet and sour,150.0,38.0,0.0,0.02,0.1,0.27,0.0,0.371,19.0
Cocktail sauce,124.0,28.0,0.0,1.1,1.8,1.4,0.0,0.983,12.0
Green Goddess Dressing,427.0,7.4,0.04,43.0,0.1,1.9,6.0,0.867,6.7
Tomato sauce,24.0,5.3,0.0,0.3,1.5,1.2,0.04,0.011,3.6
Vegetable oil,884.0,0.0,0.0,100.0,0.0,0.0,14.0,0.0,0.0
Apple juice,46.0,11.0,0.0,0.13,0.2,0.1,0.02,0.004,9.6
Orange juice,45.0,10.0,0.0,0.2,0.2,0.7,0.02,0.001,8.4
Pineapple juice,53.0,13.0,0.0,0.12,0.2,0.36,0.01,0.002,10.0
Carrot juice,40.0,9.3,0.0,0.15,0.8,0.95,0.03,0.066,3.9
Tomato juice,17.0,3.5,0.0,0.29,0.4,0.85,0.02,0.01,2.6
Beer,43.0,3.6,0.0,0.0,0.0,0.46,0.0,0.004,0.0
Daiquiri,186.0,6.9,0.0,0.06,0.1,0.06,0.01,0.005,5.6
Piña colada,174.0,23.0,0.0,1.9,0.3,0.42,1.6,0.006,22.0
Tequila sunrise,110.0,11.0,0.0,0.1,0.0,0.3,,0.057,
Monster energy drink,5.0,1.4,0.0,0.0,0.0,0.0,0.0,0.075,1.4
Whiskey sour,383.0,97.0,0.0,0.1,0.0,0.6,0.02,0.274,97.0
